 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
モズアドバンス,,牡2,不在,(栗)牧田和弥, 0- 0- 0- 0,0,スウェプトオーヴァーボード,スコルピオンキッス,北側雅司,カミイスタット,新冠町,,2012,1月26日,2012100128,1732.5万円,冠名＋進出,"Mozu Advance"
アイアムジャンピン,,牡2,不在,(美)宗像義忠, 0- 0- 0- 0,0,フサイチコンコルド,スーパーファイン,西城公雄,川上牧場,新冠町,,2012,5月9日,2012100150,,私は＋ジャンケンより＋チャンピオンより,"I Am Jampin"
マイティブロウ,,牡2,在厩,(美)小島茂之, 0- 0- 0- 0,0,エンパイアメーカー,マンチャ,藤田孟司,川上牧場,新冠町,,2012,4月24日,2012100155,,強力な一撃,"Mighty Blow"
シャイントラベラー,,牡2,不在,(美)小野次郎, 0- 0- 0- 0,0,ローレルゲレイロ,ゼヤラー,皆川博文,川島牧場,新冠町,,2012,5月2日,2012100164,,冠名＋旅行者、旅人,"Shine Traveler"
ゼトス,,牡2,不在,(美)小野次郎, 0- 1- 0- 0,0,カネヒキリ,タッソーニー,杉澤光雄,川島牧場,新冠町,,2012,2月21日,2012100165,,ギリシャ神話に登場するティーバイ王,Zethos
ブロッサムヒル,,牡2,不在,(美)牧光二, 0- 0- 0- 0,0,スニッツェル,テンジンミコオウヒ,エデンアソシエーション,川島牧場,新冠町,,2012,4月1日,2012100167,,花咲く丘,"Blossom Hill"
ウインベーネ,,牡2,不在,(栗)日吉正和, 0- 0- 0- 0,0,ステイゴールド,マイネアモーレ,ウイン,コスモヴューファーム,新冠町,,2012,4月18日,2012100249,,冠名＋元気な、立派な（伊）。怪我などに負けず、元気に走ってほしい,"Win Bene"
コスモソル,,牡2,在厩,(美)萱野浩二, 0- 0- 0- 0,0,チチカステナンゴ,マイネサンサン,岡田繁幸,コスモヴューファーム,新冠町,,2012,2月3日,2012100250,,冠名＋太陽（ラテン語）,"Cosmo Sol"
コスモレプリカ,,牡2,在厩,(美)小笠倫弘, 0- 0- 0- 0,0,コンデュイット,マイネレプリーク,岡田繁幸,コスモヴューファーム,新冠町,,2012,2月18日,2012100252,,冠名＋複製品,"Cosmo Replica"
ヤマチョウタンゴ,,牡2,在厩,(美)相沢郁, 0- 0- 0- 0,0,バゴ,エリザベートクロス,長谷川彰,シンユウフアーム,新冠町,,2012,3月4日,2012100301,,冠名＋タンゴ,"Yamacho Tango"
セイカフォルテシモ,,牡2,在厩,(栗)田中章博, 0- 0- 0- 0,0,フサイチコンコルド,セイカアルテナ,久米大,シンユウフアーム,新冠町,,2012,2月26日,2012100302,,冠名＋きわめて強く（伊）,"Seika Fortissimo"
ミズーリスカイ,,牡2,不在,(美)田中清隆, 0- 0- 0- 0,0,イーグルカフェ,コリンナ,伊藤信之,隆栄牧場,新冠町,,2012,5月5日,2012100336,,ミズーリ（アメリカの州名）の空,"Missouri Sky"
レベニュー,,牡2,在厩,(美)田中清隆, 0- 0- 0- 0,0,ケイムホーム,ネオイグザンプル,嶋田賢,隆栄牧場,新冠町,,2012,3月17日,2012100338,,収益、売上（会計用語）,Revenue
アトランタ,,牡2,不在,(美)古賀史生, 0- 0- 0- 0,0,ファスリエフ,ビバサムシング,桐谷茂,高瀬牧場,新冠町,,2012,4月30日,2012100342,,アメリカの都市名,Atlanta
ロードステルス,,牡2,不在,(美)尾形和幸, 0- 0- 0- 0,0,パーソナルラッシュ,アズマタイガー,ロードホースクラブ,大作ステーブル,新冠町,,2012,5月22日,2012100389,399万円,冠名＋隠密,"Lord Stealth"
オーロラッシュ,,牡2,在厩,(美)土田稔, 0- 0- 0- 0,0,パーソナルラッシュ,モエレサンタマリア,山口敦広,大作ステーブル,新冠町,,2012,3月10日,2012100401,325.5万円,金（伊）＋父名の一部,"Oro Rush"
ワンダーヘルト,,牡2,不在,(栗)梅田智之, 0- 0- 0- 0,0,グラスワンダー,キルシュブリューテ,古賀和夫,対馬正,新冠町,,2012,4月16日,2012100410,,父名の一部＋勇者（独）,"Wonder Held"
テス,,牡2,不在,(美)中野栄治, 0- 0- 0- 0,0,サクラプレジデント,シルクグラフィック,桐谷茂,堤牧場,新冠町,,2012,3月2日,2012100426,,人名より,"Dae Su"
レースノワエ,,牡2,在厩,(美)大和田成, 0- 0- 0- 0,0,ファスリエフ,ダンシングナウ,ローレルレーシング,長浜牧場,新冠町,,2012,5月7日,2012100484,,革命（ラテン語）,"Res Novae"
グローリアポンテ,,牡2,不在,(栗)笹田和秀, 0- 0- 0- 1,0,ファスリエフ,ピンクキャンドル,幅田京子,長浜牧場,新冠町,,2012,3月20日,2012100488,,栄光の架け橋（伊）,"Gloria Ponte"
タガノクレイオス,,牡2,在厩,(栗)加用正, 0- 0- 0- 0,0,ホワイトマズル,オーベルジュ,八木良司,新冠タガノファーム,新冠町,,2012,1月31日,2012100497,,冠名＋ギリシャ神話に登場する神,"Tagano Kreios"
タガノエスプレッソ,,牡2,不在,(栗)五十嵐忠, 0- 0- 0- 0,0,ブラックタイド,タガノレヴェントン,八木良司,新冠タガノファーム,新冠町,,2012,2月12日,2012100517,,冠名＋急行（伊）,"Tagano Espresso"
ラディカル,,牡2,在厩,(栗)大久保龍, 0- 0- 0- 0,0,ブライアンズタイム,コンプリカーター,前田幸治,ノースヒルズ,新冠町,,2012,3月14日,2012100590,,急進的な、革命的な,Radical
シゲルギシサイ,,牡2,在厩,(美)伊藤圭三, 0- 0- 0- 1,0,ファルブラヴ,サザンレイスター,森中蕃,浜口牧場,新冠町,,2012,3月28日,2012100649,189万円,冠名＋祭名「赤穂義士祭（兵庫）」より,"Shigeru Gishisai"
マイネルレハイム,,牡2,在厩,(栗)田所秀孝, 0- 0- 0- 1,0,マツリダゴッホ,コスモエンドレス,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,4月13日,2012100680,,冠名＋人生に幸あれ（ヘブライ語）,"Meiner Lehaim"
コスモアルマク,,牡2,在厩,(美)武藤善則, 0- 0- 0- 0,0,ロージズインメイ,コスモキララ,ビッグレッドファーム,ビッグレッドファーム,新冠町,,2012,3月31日,2012100682,,冠名＋アンドロメダ座の恒星、最美の二重星,"Cosmo Almach"
マイネルプロンプト,,牡2,不在,(美)田島俊明, 0- 0- 0- 0,0,マツリダゴッホ,コスモクラッベ,サラブレッドクラブ・ラフィアン,コスモヴューファーム,新冠町,,2012,3月17日,2012100683,,冠名＋速やかな,"Meiner Prompt"
マイネルリード,,牡2,不在,(美)萱野浩二, 0- 0- 0- 1,0,コンデュイット,コスモミール,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,2月7日,2012100691,,冠名＋導く,"Meiner Lead"
マイネルカルド,,牡2,不在,(美)相沢郁, 0- 0- 0- 0,0,マツリダゴッホ,マイネアルデュール,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,3月4日,2012100710,,冠名＋熱い（伊）,"Meiner Caldo"
コスモデレガンス,,牡2,在厩,(美)高橋裕, 0- 0- 0- 1,0,コンデュイット,マイネコンテッサ,ビッグレッドファーム,ビッグレッドファーム,新冠町,,2012,3月27日,2012100720,,冠名＋コンテッサ車が受賞したコンテスト名より,"Cosmo d'Elegance"
マイネルサクセサー,,牡2,在厩,(美)畠山重則, 0- 0- 0- 0,0,ブライアンズタイム,マイネジャーダ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,4月14日,2012100724,,冠名＋後継者,"Meiner Successor"
コスモピンパーネル,,牡2,在厩,(美)高橋祥泰, 0- 0- 0- 2,0,マツリダゴッホ,マイネデセール,ビッグレッドファーム,ビッグレッドファーム,新冠町,,2012,4月16日,2012100729,,冠名＋はこべ,"Cosmo Pimpernel"
マイネルベルセルク,,牡2,不在,(美)畠山吉宏, 0- 0- 0- 0,0,ハーツクライ,マイネヌーヴェル,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,3月1日,2012100731,,冠名＋北欧神話に登場する狂戦士（ノルウェー語）,"Meiner Berserk"
マイネルガーデン,,牡2,在厩,(美)和田正一, 0- 0- 0- 0,0,ソングオブウインド,マイネビクトリア,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,1月19日,2012100732,,冠名＋庭,"Meiner Garden"
マイネルクレイモア,,牡2,在厩,(美)尾関知人, 0- 1- 0- 0,0,マツリダゴッホ,マンバラ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,新冠町,,2012,3月20日,2012100742,,冠名＋スコットランド人が使用した剣,"Meiner Claymore"
ゴールドクェスト,,牡2,在厩,(美)宗像義忠, 0- 0- 0- 0,0,マツリダゴッホ,ロンドリーナ,居城要,北勝ファーム,新冠町,,2012,5月9日,2012100764,,冠名＋追及,"Gold Quest"
トップディーヴォ,,牡2,不在,(栗)昆貢, 0- 0- 0- 0,0,キングカメハメハ,セクシーザムライ,コオロ,細川農場,新冠町,,2012,2月10日,2012100781,,冠名＋神々しい、神聖な（伊）,"Top Divo"
フェスティヴデール,,牡2,不在,(美)天間昭一, 0- 0- 0- 0,0,ジャングルポケット,フェスティヴキティ,臼井義太郎,細川農場,新冠町,,2012,4月11日,2012100782,,冠名＋人名より,"Festive Dale"
コパノアルディー,,牡2,不在,(美)尾形充弘, 0- 0- 0- 0,0,バゴ,エピーメロン,小林祥晃,松本信行,新冠町,,2012,5月10日,2012100812,787.5万円,冠名＋大胆な、怖いもの知らず（仏）,"Copano Hardi"
バリキ,,牡2,在厩,(栗)鈴木孝志, 0- 0- 0- 0,0,ハーツクライ,カネスベネフィット,杉澤光雄,ムラカミファーム,新冠町,,2012,5月5日,2012100849,,馬力,Bariki
グランジゲレイロ,,牡2,不在,(栗)昆貢, 0- 0- 0- 0,0,ローレルゲレイロ,エルトベーレ,ローレルレーシング,村田牧場,新冠町,,2012,4月7日,2012100875,,偉大な戦士（ポルトガル語）,"Grande Guerreiro"
キャノンプレート,,牡2,在厩,(栗)昆貢, 0- 0- 0- 0,0,マンハッタンカフェ,ビッグテンビー,ローレルレーシング,村田牧場,新冠町,,2012,4月6日,2012100883,,黒い大砲（ポルトガル語）,"Canhao Preto"
キーワールド,,セ2,不在,(美)土田稔, 0- 0- 0- 0,0,ファルブラヴ,ヒロコカサブランカ,北前孔一郎,村本牧場,新冠町,,2012,5月12日,2012100893,,冠名＋世界,"Key World"
アニマルスピリッツ,,牡2,不在,(栗)木原一良, 0- 0- 0- 0,0,メイショウサムソン,デイム,山内邦一,森永聡,新冠町,,2012,4月22日,2012100901,,元気,"Animal Spirits"
トップインパクト,,牡2,不在,(美)萱野浩二, 0- 0- 0- 0,0,ディープインパクト,レッドヴィーナス,コオロ,森永聡,新冠町,,2012,3月15日,2012100903,,冠名＋衝撃、父名の一部,"Top Impact"
エンパイアルーラー,,牡2,不在,(栗)長浜博之, 0- 0- 0- 0,0,エンパイアメーカー,フレンチバージン,畑佐博,天羽牧場,日高町,,2012,1月31日,2012101007,,帝国支配者,"Empire Ruler"
スニップレイ,,牡2,不在,(美)尾形充弘, 0- 0- 0- 0,0,スニッツェル,プレギエーラ,阿部幸暉,荒井ファーム,日高町,,2012,4月8日,2012101043,,父名より＋母名より,Snitpray
ヒルノマレット,,牡2,在厩,(栗)北出成人, 0- 0- 0- 0,0,キングカメハメハ,ナムラクニヒメ,ヒルノ,いとう牧場,日高町,,2012,4月18日,2012101055,,冠名＋アイルランドの半島名,"Hiruno Mullet"
トーセンテレマーク,,牡2,不在,(美)小笠倫弘, 0- 0- 0- 0,0,トーセンブライト,シャトーノワール,島川隆哉,エスティファーム,日高町,,2012,3月24日,2012101084,,冠名＋スキーの姿勢,"Tosen Telemark"
バロネット,,牡2,不在,(美)相沢郁, 0- 0- 0- 0,0,ステイゴールド,フィジーガール,ヒダカ・ブリーダーズ・ユニオン,沖田牧場,日高町,,2012,2月13日,2012101140,1680万円,準男爵。ナイトより上の称号。兄を超える活躍を期待して,Baronet
タイムトゥシャイン,,牡2,在厩,(美)和田正一, 0- 0- 0- 0,0,ハーツクライ,ファリシーク,古賀和夫,賀張三浦牧場,日高町,,2012,4月19日,2012101179,1260万円,輝く時が来る,"Time to Shine"
サウスリバティー,,牡2,不在,(栗)加用正, 0- 0- 0- 0,0,サウスヴィグラス,サザンジュエリー,南波壽,木村牧場,日高町,,2012,2月28日,2012101201,,冠名＋自由,"South Liberty"
ナイトウォッチ,,牡2,不在,(美)粕谷昌央, 0- 0- 0- 1,0,スターリングローズ,ビービーイリューム,ミルファーム,小西ファーム,日高町,,2012,4月30日,2012101237,,夜警。絵画名より,"Night Watch"
パブリックフレンド,,牡2,不在,(美)宗像義忠, 0- 0- 0- 0,0,マンハッタンカフェ,ケリーズビューティ,西城公雄,坂戸節子,日高町,,2012,3月24日,2012101246,,公＋友,"Public Friend"
レアルイモン,,牡2,不在,(美)松永康利, 0- 0- 0- 0,0,アグネスデジタル,キャンベルイモン,井門昭二,坂牧場,日高町,,2012,4月11日,2012101252,,王（西）＋冠名,"Real Imon"
デスティーノトップ,,牡2,不在,(栗)宮本博, 0- 0- 0- 0,0,Corinthian,ランフォーイット,名古屋友豊,下河辺牧場,日高町,,2012,3月18日,2012101397,2100万円,一番の＋運命（ポルトガル語）,"Destino Top"
トップゴーオン,,牡2,在厩,(栗)坂口正則, 0- 0- 0- 0,0,フレンチデピュティ,レッドプライム,コオロ,庄野牧場,日高町,,2012,4月2日,2012101416,,冠名＋先へ進む、さらに進む,"Top Go On"
モントレーベイ,,牡2,在厩,(美)勢司和浩, 0- 0- 0- 0,0,クロフネ,ホッテストチケット,金子真人ホールディングス,白井牧場,日高町,,2012,3月13日,2012101429,,サンフランシスコの南にある美しい湾,"Monterey Bay"
ショウナンダイナモ,,牡2,在厩,(美)古賀史生, 0- 0- 0- 0,0,フレンチデピュティ,ヨーレン,国本哲秀,白瀬盛雄,日高町,,2012,3月7日,2012101441,1680万円,冠名＋発電機,"Shonan Dynamo"
リンカーンハート,,牡2,不在,(美)相沢郁, 0- 0- 0- 0,0,サムライハート,リンカーングリーン,芹澤精一,瀬戸牧場,日高町,,2012,2月26日,2012101470,157.5万円,母名の一部＋父名の一部,"Lincoln Heart"
ブラックバード,,牡2,在厩,(栗)加用正, 0- 0- 0- 0,0,ダイワメジャー,ハレクラニ,"Him Rock Racing",タバタファーム,日高町,,2012,6月7日,2012101504,,黒い鳥,"Black Bird"
セイカアヴァンサ,,牡2,不在,(美)相沢郁, 0- 0- 0- 0,0,タイムパラドックス,セイカカロブ,久米大,千葉飯田牧場,日高町,,2012,2月25日,2012101621,,冠名＋前に進む（仏）,"Seika Avancer"
シゲルエイサー,,牡2,不在,(栗)武田博, 0- 0- 0- 1,0,グラスワンダー,セレスフェアリー,森中蕃,中前牧場,日高町,,2012,5月2日,2012101695,262.5万円,冠名＋祭名「エイサー祭り（沖縄）」より,"Shigeru Eisa"
サイクルヒッター,,牡2,在厩,(栗)梅内忍, 0- 0- 0- 1,0,チャクラ,ドナラーク,西村新一郎,日西牧場,日高町,,2012,3月25日,2012101726,172.8万円,サイクルヒットを打つ人（野球用語）,"Cycle Hitter"
メルセダリオパレス,,牡2,不在,(栗)白井寿昭, 0- 0- 0- 0,0,スペシャルウィーク,メルセダリオ,小林量,長谷川牧場,日高町,,2012,3月11日,2012101762,,母名＋冠名,"Mercedario Palace"
ライドオンウインド,,牡2,在厩,(栗)木原一良, 0- 0- 0- 1,0,アグネスデジタル,サンシャインバレイ,名古屋友豊,春木昭雄,日高町,,2012,5月7日,2012101787,997.5万円,風に乗る,"Ride on Wind"
モズミステイク,,牡2,不在,(栗)南井克巳, 0- 0- 0- 0,0,ワイルドラッシュ,プレイリースモーク,北側雅司,日高大洋牧場,日高町,,2012,4月22日,2012101811,714万円,冠名＋間違い。間違って重賞を勝って欲しい思いより,"Mozu Mistake"
セイカヒカワザカ,,牡2,不在,(美)小野次郎, 0- 0- 0- 0,0,スウェプトオーヴァーボード,チャームアップ,久米誠,藤本友則,日高町,,2012,4月4日,2012101860,,冠名＋東京赤坂にある氷川神社前の坂道,"Seika Hikawazaka"
マジックシャトル,,牡2,在厩,(栗)清水久詞, 0- 0- 0- 0,0,タイキシャトル,デイトナイト,林正道,藤本ファーム,日高町,,2012,3月16日,2012101868,861万円,母母名の一部＋父名の一部,"Magic Shuttle"
グリーングリーン,,牡2,不在,(美)大江原哲, 0- 0- 0- 0,0,スニッツェル,クリノオンディーヌ,北所直人,宝寄山忠則,日高町,,2012,3月8日,2012101881,,母系の名馬グリーングラスより,"Green Green"
トミケンシャルゴー,,牡2,不在,(美)和田正一, 0- 0- 0- 0,0,グラスワンダー,ホウヨウターゲット,冨樫賢二,豊洋牧場,日高町,,2012,4月24日,2012101895,577.5万円,冠名＋頑固な、辛抱強い（モンゴル語）,"Tomiken Scharguu"
リアン,,牡2,不在,(栗)梅田智之, 0- 0- 0- 1,0,カネヒキリ,コパノマルコリーニ,桐谷茂,前野牧場,日高町,,2012,2月29日,2012101931,,絆（仏）,Lien
ルイヴィルリップ,,牡2,不在,(美)田中剛, 0- 0- 0- 0,0,ショウナンカンプ,ヤングダリア,ポリッシュホースメイト,増尾牧場,日高町,,2012,4月14日,2012101952,,人名愛称,"Louisville Lip"
ファルブサンダー,,牡2,不在,(美)武市康男, 0- 0- 0- 0,0,ファルブラヴ,ヘヴンズカーニバル,松平恭司,松平牧場,日高町,,2012,4月5日,2012101955,,父名より＋母父名の一部,"Falb Thunder"
ファジーシステム,,牡2,不在,(美)宗像義忠, 0- 0- 0- 0,0,ステイゴールド,エンジェルダンス,薗部博之,メイプルファーム,日高町,,2012,3月15日,2012101965,1680万円,曖昧な方式,"Fuzzy System"
ベルウッドツルギ,,牡2,在厩,(美)武市康男, 0- 0- 0- 1,0,アドマイヤムーン,ボンビバン,鈴木照雄,メイプルファーム,日高町,,2012,4月12日,2012101973,,冠名＋北アルプスの剣岳より,"Bell Wood Tsurugi"
モズドゥーチェ,,牡2,不在,(栗)中尾秀正, 0- 0- 0- 0,0,マンハッタンカフェ,サイトディーラー,北側雅司,目黒牧場,日高町,,2012,4月3日,2012101976,,冠名＋指導者、統帥（伊）,"Mozu Duce"
マコトギンスバーグ,,牡2,不在,(美)尾形充弘, 0- 0- 0- 0,0,キングカメハメハ,マコトスズラン,ディアマント,ヤナガワ牧場,日高町,,2012,5月27日,2012102024,,冠名＋物理学者名より,"Makoto Ginsberg"
クリノサンプー,,牡2,不在,(美)本間忍, 0- 0- 0- 0,0,ショウナンカンプ,クリノマチルダ,栗本博晴,横井哲,日高町,,2012,3月6日,2012102037,,冠名＋客風三風（麻雀用語）より,"Kurino Sampu"
ダブルサークル,,牡2,不在,(栗)森田直行, 0- 0- 0- 0,0,アサクサデンエン,ウィズペイシェンス,林正道,赤石牧場,平取町,,2012,5月18日,2012102047,210万円,二重丸,"Double Circle"
スズカハイヤー,,牡2,在厩,(美)伊藤圭三, 0- 0- 0- 0,0,ハービンジャー,アイシースズカ,永井啓弍,稲原牧場,平取町,,2012,4月3日,2012102051,,冠名＋ハイヤー,"Suzuka Hire"
ホシノオウジサマ,,牡2,不在,(栗)谷潔, 0- 0- 0- 0,0,シニスターミニスター,タニノバーバラ,菅藤宗一,中田牧場,平取町,,2012,5月10日,2012102110,577.5万円,星の王子さま。馬主服色より連想,"Hoshino Ojisama"
ペイシャオブロー,,牡2,在厩,(美)菅原泰夫, 0- 0- 0- 0,0,ルールオブロー,ダンスレッスン,北所直人,二風谷ファーム,平取町,,2012,3月12日,2012102116,,冠名＋父名の一部,"Peisha of Law"
シャイニーヘイロー,,牡2,不在,(美)尾形充弘, 0- 0- 0- 0,0,キングヘイロー,コアレスサンデー,小林昌志,雅牧場,平取町,,2012,4月6日,2012102158,,冠名＋父名の一部,"Shiny Halo"
ペイシャピュア,,牡2,在厩,(美)本間忍, 0- 0- 0- 0,0,タイキシャトル,ピュアフレグランス,北所直人,飯岡牧場,新ひだか町,,2012,3月22日,2012102180,,冠名＋母名の一部,"Peisha Pure"
ナイスパートナー,,牡2,不在,(栗)谷潔, 0- 0- 0- 0,0,カネヒキリ,タイキフローラ,菅藤宗一,沖田忠幸,新ひだか町,,2012,2月11日,2012102220,430.5万円,良きパートナー,"Nice Partner"
クワッドアクセル,,牡2,在厩,(美)小西一男, 0- 0- 0- 0,0,マーベラスサンデー,トピアリー,島田久,沖田忠幸,新ひだか町,,2012,3月16日,2012102222,,四回転半ジャンプ,"Quad Axel"
オープンマーケット,,牡2,不在,(美)小西一男, 0- 0- 0- 0,0,ファルブラヴ,ミラキュラス,島田久,沖田忠幸,新ひだか町,,2012,2月4日,2012102228,,解放された市場,"Open Market"
フミノミニスター,,牡2,不在,(栗)本田優, 0- 0- 0- 0,0,シニスターミニスター,ウィンワーシップ,谷二,金舛幸夫,新ひだか町,,2012,4月21日,2012102253,630万円,冠名＋父名の一部,"Fumino Minister"
トウケイファルコン,,牡2,在厩,(栗)池添兼雄, 0- 0- 0- 0,0,スペシャルウィーク,サンセットロード,木村信彦,木下牧場,新ひだか町,,2012,3月25日,2012102279,1333.5万円,冠名＋ハヤブサ,"Tokei Falcon"
マイネルエスパス,,牡2,在厩,(美)菊川正達, 1- 0- 0- 0,400,マイネルラヴ,タイニープラネット,サラブレッドクラブ・ラフィアン,木下牧場,新ひだか町,,2012,3月9日,2012102281,,冠名＋宇宙（仏）,"Meiner Espace"
ロードグランツ,,牡2,不在,(栗)藤原英昭, 0- 0- 0- 0,0,ディープインパクト,インディアナギャル,ロードホースクラブ,ケイアイファーム,新ひだか町,,2012,3月10日,2012102291,,冠名＋輝き（独）,"Lord Glanz"
ロードグロワール,芳,牡2,不在,(栗)浅見秀一, 0- 0- 0- 0,0,キングカメハメハ,エアジュリアード,ロードホースクラブ,ケイアイファーム,新ひだか町,,2012,1月31日,2012102292,,冠名＋栄光（仏）,"Lord Gloire"
ロードシャリオ,,牡2,在厩,(美)高柳瑞樹, 0- 0- 0- 0,0,キンシャサノキセキ,レディカーニバル,ロードホースクラブ,ケイアイファーム,新ひだか町,,2012,3月17日,2012102301,,冠名＋戦闘用馬車（仏）,"Lord Chariot"
ロードチャレンジ,,牡2,在厩,(栗)千田輝彦, 0- 0- 0- 0,0,ケイムホーム,レディナデシコ,ロードホースクラブ,ケイアイファーム,新ひだか町,,2012,3月21日,2012102306,,冠名＋挑戦,"Lord Challenge"
ジョーハリス,,牡2,在厩,(栗)清水久詞, 0- 0- 0- 1,0,ロージズインメイ,ウエストエスケープ,上田けい子,斉藤スタッド,新ひだか町,,2012,3月21日,2012102320,399万円,冠名＋恩寵（ギリシャ語）,"Jo Charis"
クラッチパット,,牡2,在厩,(美)田中清隆, 0- 0- 0- 0,0,アドマイヤマックス,ブライアンズキッス,嶋田賢,斉藤スタッド,新ひだか町,,2012,4月30日,2012102323,325.5万円,トーナメントの優勝を左右する大事な局面でのパット（ゴルフ用語）,"Clutch Putt"
ウインディバイン,,牡2,不在,(美)武市康男, 0- 0- 0- 0,0,バゴ,リサイトアチャーム,ウイン,佐藤陽一,新ひだか町,,2012,2月25日,2012102333,,冠名＋神、聖職者。母名より連想,"Win Divine"
トミケンルーシッド,,牡2,在厩,(美)水野貴広, 0- 0- 0- 0,0,ジャングルポケット,ローズシティ,冨樫賢二,佐藤陽一,新ひだか町,,2012,5月7日,2012102334,735万円,冠名＋輝く、明るい,"Tomiken Lucid"
ノブワイルド,,牡2,在厩,(美)畠山吉宏, 0- 0- 0- 0,0,ヴァーミリアン,コウエイベスト,前田亘輝,城地清満,新ひだか町,,2012,5月25日,2012102358,525万円,冠名＋野生の,"Nobu Wild"
ワンダーウインディ,,牡2,不在,(栗)佐藤正雄, 0- 0- 0- 0,0,ワンダースピード,ジョプリンガール,山本能成,城地清満,新ひだか町,,2012,5月24日,2012102360,,冠名＋風の吹く、風の強い,"Wonder Windy"
プレーケストーレン,,牡2,在厩,(美)奥村武, 0- 0- 0- 2,0,サクラプレジデント,パレスルビー,スリースターズレーシング,タツヤファーム,新ひだか町,,2012,5月13日,2012102380,105万円,ノルウェーにある一枚岩の崖,Preikestolen
シゲルケンカマツリ,,牡2,不在,(美)武市康男, 0- 0- 0- 1,0,ファスリエフ,トゥルーアイズ,森中蕃,土田農場,新ひだか町,,2012,5月5日,2012102400,262.5万円,冠名＋祭名「灘のけんか祭り（兵庫）」より,Shigerukenkamaturi
ロドリゴユッキ,,牡2,不在,(美)高市圭二, 0- 0- 0- 0,0,タイキシャトル,ミューズダンス,チームユッキレーシング,筒井征文,新ひだか町,,2012,4月30日,2012102416,210万円,種牡馬ロドリゴデトリアーノより＋人名より,"Rodrigo Yukki"
リッカクロフネ,,牡2,在厩,(栗)武田博, 0- 0- 0- 0,0,クロフネ,リッカビクトリー,立花幸雄,原口牧場,新ひだか町,,2012,3月29日,2012102456,,冠名＋父名,"Rikka Kurofune"
ステツクテンテン,,牡2,在厩,(美)奥村武, 0- 0- 0- 0,0,ローエングリン,カーラヤ,スリースターズレーシング,堀川洋之,新ひだか町,,2012,3月13日,2012102480,,寄席での太鼓の叩き方,"Sutetsuku Tenten"
ミキノブシドウ,,牡2,在厩,(美)南田美知, 0- 0- 0- 0,0,サムライハート,ウィッティシズム,谷口久和,本桐牧場,新ひだか町,,2012,4月18日,2012102488,,冠名＋武士道,"Mikino Bushido"
カシノマッハ,,牡2,在厩,(栗)梅内忍, 0- 0- 0- 2,0,マーベラスサンデー,マヤノロゼッタ,柏木務,前川隆則,新ひだか町,,2012,2月29日,2012102517,,冠名＋マッハ数。音速の如く速く,"Kashino Mach"
ラガーユーメジャー,,牡2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,ダイワメジャー,ナヴィガトリア,奥村啓二,前川正美,新ひだか町,,2012,2月28日,2012102522,,冠名＋君が最高,"Rugger You Major"
マーブルバトル,,牡2,不在,(栗)池添兼雄, 0- 0- 0- 0,0,バトルプラン,マーブルダンサー,下村直,三石川上牧場,新ひだか町,,2012,5月3日,2012102559,,冠名＋戦い、父名の一部,"Marble Battle"
シゲルオハシリサン,,牡2,在厩,(栗)飯田祐史, 0- 0- 0- 1,0,ストーミングホーム,モリトアヤメ,森中蕃,三石川上牧場,新ひだか町,,2012,3月12日,2012102561,262.5万円,冠名＋祭名「お走りさん（兵庫）」より,Shigeruohashirisan
ナニスンネン,,牡2,在厩,(美)尾形充弘, 0- 0- 0- 0,0,クロフネ,スギノフォルモーザ,杉山忠国,明治牧場,新ひだか町,,2012,4月2日,2012102595,,何すんねん。勝気、負けない気持ち,Nanisunnen
グッドウィーク,,牡2,不在,(栗)加藤敬二, 0- 0- 0- 0,0,スペシャルウィーク,ヤサラム,山本茂,元道牧場,新ひだか町,,2012,3月5日,2012102611,,良い週。父名より連想,"Good Week"
コスモムルジム,,牡2,不在,(美)粕谷昌央, 0- 0- 0- 0,0,ロージズインメイ,エイシンルンルン,ビッグレッドファーム,山野牧場,新ひだか町,,2012,3月4日,2012102633,262.5万円,冠名＋恒星名,"Cosmo Murzim"
マイネルスウェルテ,,牡2,在厩,(美)松山将樹, 0- 0- 0- 0,0,シルバーチャーム,サマーファインデイ,サラブレッドクラブ・ラフィアン,山野牧場,新ひだか町,,2012,5月21日,2012102636,378万円,冠名＋幸運（西）,"Meiner Suerte"
コスモブレイクスル,,牡2,不在,(美)菊川正達, 0- 0- 0- 0,0,タイムパラドックス,キタサンアジタート,ビッグレッドファーム,米田牧場,新ひだか町,,2012,5月28日,2012102647,367.5万円,冠名＋突破口、ブレイクする,"Cosmo Breakthrough"
